Dates,Prices_training,trained_values,Data_training_VIX,Data_training_MOVE,Data_training_EURUSD,Data_training_HY,Data_training_BBB,Data_training_AA,Data_training_Liquidity,Data_training_Spread,Data_training_FEDFUNDS,Prices_prediction,Predicted_values,Data_prediction_VIX,Data_prediction_MOVE,Data_prediction_EURUSD,Data_prediction_HY,Data_prediction_BBB,Data_prediction_AA,Data_prediction_Liquidity,Data_prediction_Spread,Data_prediction_FEDFUNDS,Combined Prices
2010-06-12,111.7300033569336,5.0,0.1276229572401,0.22973382582182048,1.6300330481890604,1.0718128188605205,0.7682711252181471,1.3097987759329406,0.30198937699127576,-1.3576212250326485,0.6688469474430135,,,,,,,,,,,,111.7300033569336
2010-06-19,107.87000274658203,5.0,0.6578375944964967,-0.5064130885290234,1.4639842407230594,0.5893240024246731,0.6850194035813748,1.072121359016935,-0.04502963711991052,-1.2321927082640693,0.634179083214888,,,,,,,,,,,,107.87000274658203
2010-06-26,102.19999694824219,5.0,0.8020407902429533,-0.21852105140553824,1.5319292905776538,0.759117378582556,0.7468823845789773,1.0350955376449535,-0.3689261986902438,-1.3521943816421713,0.6004695294453734,,,,,,,,,,,,102.19999694824219
2010-07-03,107.95999908447266,5.0,0.18433708269148244,-0.429617158188619,1.4532000510418674,1.0791942524940672,0.9740055996086295,0.6610248763532844,-0.8880398141388963,-1.672759137295787,0.5674577893443493,,,,,,,,,,,,107.95999908447266
2010-07-10,106.66000366210938,5.0,0.31593744880880503,-0.6810820433524294,1.566336477129008,0.7612596569430421,0.8894810225800887,0.41480191969136443,-0.8117773960555471,-1.2237837017094157,0.5348873651152538,,,,,,,,,,,,106.66000366210938
2010-07-17,110.41000366210938,5.0,-0.02772654480298763,-0.7933024769030832,1.5193966036368496,0.6160027830928255,0.7137652555794617,0.2088996108474763,-0.8272875049243239,-1.468453442633944,0.5024938403865306,,,,,,,,,,,,110.41000366210938
2010-07-24,110.2699966430664,5.0,-0.03154009897136563,-0.79341603523361,1.3432705799129225,0.36733469437851923,0.5365949730617976,0.04271664843220007,-0.7209880896230924,-1.0832301760758942,0.46999049444479235,,,,,,,,,,,,110.2699966430664
2010-07-31,112.38999938964844,5.0,-0.2586539201158013,-0.5786548768317104,1.255016817288109,0.3579445627774625,0.32773000688990667,-0.041676710762883325,-0.36388917701764223,-1.1186021027942392,0.43461803525132514,,,,,,,,,,,,112.38999938964844
2010-08-07,108.30999755859375,5.0,0.2521426888095565,-0.26434551293691255,0.9264622351006816,0.30728878547380795,0.2262006541987641,-0.09417473003663747,-0.7542994359700128,-1.1501435849246302,0.6156960636950612,,,,,,,,,,,,108.30999755859375
2010-08-14,107.52999877929688,3.0,0.16827802503831996,0.40190134487871193,0.3868215712459943,0.6850231924650202,0.3360085960374248,0.013944401765776783,-0.7996595178555364,-1.7489343855762467,0.5826864726394878,,,,,,,,,,,,107.52999877929688
2010-08-21,106.86000061035156,3.0,0.04167210358603672,1.4832576274954858,-0.006274110869361957,0.5662959090038145,0.26485478092403825,-0.14984996932428546,-0.7630314597656179,-1.5804121783278782,0.5510328425612078,,,,,,,,,,,,106.86000061035156
2010-08-28,110.88999938964844,3.0,-0.32205766659461227,0.465793418397721,-0.20376513638332444,0.5616300314735799,0.4084142798167884,-0.07269163432548847,-1.2584795685990056,-1.504818728022604,0.5214916209652927,,,,,,,,,,,,110.88999938964844
2010-09-04,111.4800033569336,3.0,-0.235713977780718,1.2366303946780364,-0.3823190371178303,0.3121121826383601,0.3679240473205964,-0.025213687170946835,-1.1263252513616853,-1.1110751237601901,0.48640952367614526,,,,,,,,,,,,111.4800033569336
2010-09-11,112.48999786376953,3.0,-0.24288163881269012,0.9252920501771834,-0.20518688606523988,-0.0029214496473313816,0.2124362327429934,-0.1353884286560316,-0.004371027559308098,-0.9578763678917294,0.45051543931579635,,,,,,,,,,,,112.48999786376953
